TESTER completó el nivel 1 en 12,745 segundos.
GUERRERITA completó el nivel 4 en 0 segundos.
GUERRERITA completó el nivel 5 en 0 segundos.
GUERRERITA completó el nivel 6 en 0 segundos.
GUERRERITA completó el nivel 7 en 0 segundos.
GUERRERITA completó el nivel 8 en 0,015 segundos.
GUERRERITA completó el nivel 9 en 0 segundos.
GUERRERITA completó el nivel 10 en 0 segundos.
GUERRERITA completó el nivel 11 en 0 segundos.
GUERRERITA completó el nivel 12 en 0 segundos.
GUERRERITA completó el nivel 13 en 0 segundos.
GUERRERITA completó el nivel 14 en 0 segundos.
GUERRERITA completó el nivel 15 en 0 segundos.
GUERRERITA completó el nivel 16 en 0 segundos.
GUERRERITA completó el nivel 17 en 4,165 segundos.
GUERRERITA completó el nivel 18 en 0 segundos.
GUERRERITA completó el nivel 19 en 0 segundos.
GUERRERITA completó el nivel 20 en 0,016 segundos.
GUERRERITA completó el nivel 21 en 4,196 segundos.
GUERRERITA completó el nivel 22 en 0,047 segundos.
GUERRERITA completó el nivel 23 en 3,417 segundos.
GUERRERITA completó el nivel 24 en 0,031 segundos.
GUERRERITA completó el nivel 25 en 0,281 segundos.
GUERRERITA completó el nivel 26 en 0,312 segundos.
GUERRERITA completó el nivel 27 en 0,546 segundos.
GUERRERITA completó el nivel 28 en 0,374 segundos.
GUERRERITA completó el nivel 29 en 0,265 segundos.
GUERRERITA completó el nivel 30 en 0,609 segundos.
GUERRERITA completó el nivel 31 en 0,858 segundos.
GUERRERITA completó el nivel 32 en 1,139 segundos.
GUERRERITA completó el nivel 33 en 1,575 segundos.
GUERRERITA completó el nivel 34 en 2,527 segundos.
GUERRERITA completó el nivel 35 en 3,011 segundos.
GUERRERITA completó el nivel 36 en 4,197 segundos.
GUERRERITA completó el nivel 37 en 18,283 segundos.
GUERRERITA completó el nivel 38 en 5,694 segundos.
GUERRERITA completó el nivel 39 en 8,471 segundos.
PICHONA completó el nivel 1 en 6,911 segundos.
PICHONA completó el nivel 2 en 0 segundos.
PICHONA completó el nivel 3 en 0 segundos.
PICHONA completó el nivel 4 en 0 segundos.
PICHONA completó el nivel 5 en 0 segundos.
PICHONA completó el nivel 6 en 0 segundos.
PICHONA completó el nivel 7 en 0 segundos.
PICHONA completó el nivel 8 en 0 segundos.
PICHONA completó el nivel 9 en 0 segundos.
PICHONA completó el nivel 10 en 0,016 segundos.
PICHONA completó el nivel 11 en 0 segundos.
PICHONA completó el nivel 12 en 0 segundos.
PICHONA completó el nivel 13 en 0 segundos.
PICHONA completó el nivel 14 en 0 segundos.
PICHONA completó el nivel 15 en 0,249 segundos.
PICHONA completó el nivel 16 en 0,016 segundos.
PICHONA completó el nivel 17 en 0 segundos.
PICHONA completó el nivel 18 en 0 segundos.
PICHONA completó el nivel 19 en 0,031 segundos.
PICHONA completó el nivel 20 en 0,094 segundos.
PICHONA completó el nivel 21 en 0,015 segundos.
PICHONA completó el nivel 22 en 1,202 segundos.
PICHONA completó el nivel 23 en 0 segundos.
PICHONA completó el nivel 24 en 0,468 segundos.
PICHONA completó el nivel 25 en 0,234 segundos.
PICHONA completó el nivel 26 en 0,328 segundos.
PICHONA completó el nivel 27 en 0,577 segundos.
PICHONA completó el nivel 28 en 0,64 segundos.
PICHONA completó el nivel 29 en 0,951 segundos.
PICHONA completó el nivel 30 en 1,108 segundos.
PICHONA completó el nivel 31 en 1,607 segundos.
PICHONA completó el nivel 32 en 0,998 segundos.
PICHONA completó el nivel 33 en 1,607 segundos.
PICHONA completó el nivel 34 en 2,808 segundos.
PICHONA completó el nivel 35 en 1,887 segundos.
PICHONA completó el nivel 36 en 3,838 segundos.
PICHONA completó el nivel 37 en 15,912 segundos.
PICHONA completó el nivel 38 en 6,037 segundos.
PICHONA completó el nivel 39 en 6,1 segundos.
